onset	duration	begsample	endsample	offset	type
7.345	0.105	1470	1490	0	stimulation
8.35	0.105	1671	1691	0	stimulation
9.04	0.105	1809	1829	0	stimulation
10.04	0.105	2009	2029	0	stimulation
10.735	0.105	2148	2168	0	stimulation
32.86	0.105	6573	6593	0	stimulation
33.865	0.105	6774	6794	0	stimulation
34.87	0.105	6975	6995	0	stimulation
45.48	0.105	9097	9117	0	stimulation
46.485	0.105	9298	9318	0	stimulation
47.49	0.105	9499	9519	0	stimulation
48.495	0.105	9700	9720	0	stimulation
88.545	0.105	17710	17730	0	stimulation
89.55	0.105	17911	17931	0	stimulation
90.265	0.105	18054	18074	0	stimulation
91.24	0.105	18249	18269	0	stimulation
91.96	0.105	18393	18413	0	stimulation
