onset	duration	begsample	endsample	offset	type
7.665	0.105	1534	1554	0	stimulation
8.41	0.105	1683	1703	0	stimulation
8.84	0.105	1769	1789	0	stimulation
9.58	0.105	1917	1937	0	stimulation
10.015	0.105	2004	2024	0	stimulation
31.56	0.105	6313	6333	0	stimulation
32.305	0.105	6462	6482	0	stimulation
33.05	0.105	6611	6631	0	stimulation
33.485	0.105	6698	6718	0	stimulation
34.22	0.105	6845	6865	0	stimulation
55.455	0.105	11092	11112	0	stimulation
56.2	0.105	11241	11261	0	stimulation
56.945	0.105	11390	11410	0	stimulation
57.38	0.105	11477	11497	0	stimulation
58.115	0.105	11624	11644	0	stimulation
