onset	duration	begsample	endsample	offset	type
2.95	0.105	591	611	0	stimulation
3.955	0.105	792	812	0	stimulation
4.96	0.105	993	1013	0	stimulation
11.73	0.105	2347	2367	0	stimulation
12.735	0.105	2548	2568	0	stimulation
13.74	0.105	2749	2769	0	stimulation
18.59	0.105	3719	3739	0	stimulation
19.595	0.105	3920	3940	0	stimulation
20.6	0.105	4121	4141	0	stimulation
34.73	0.105	6947	6967	0	stimulation
35.735	0.105	7148	7168	0	stimulation
36.74	0.105	7349	7369	0	stimulation
37.745	0.105	7550	7570	0	stimulation
41.635	0.105	8328	8348	0	stimulation
42.64	0.105	8529	8549	0	stimulation
43.645	0.105	8730	8750	0	stimulation
44.65	0.105	8931	8951	0	stimulation
45.655	0.105	9132	9152	0	stimulation
64.585	0.105	12918	12938	0	stimulation
65.59	0.105	13119	13139	0	stimulation
66.595	0.105	13320	13340	0	stimulation
67.6	0.105	13521	13541	0	stimulation
68.605	0.105	13722	13742	0	stimulation
70.895	0.105	14180	14200	0	stimulation
71.9	0.105	14381	14401	0	stimulation
72.905	0.105	14582	14602	0	stimulation
73.91	0.105	14783	14803	0	stimulation
92.84	0.105	18569	18589	0	stimulation
93.845	0.105	18770	18790	0	stimulation
94.645	0.105	18930	18950	0	stimulation
95.535	0.105	19108	19128	0	stimulation
96.54	0.105	19309	19329	0	stimulation
100.43	0.105	20087	20107	0	stimulation
101.435	0.105	20288	20308	0	stimulation
102.44	0.105	20489	20509	0	stimulation
