onset	duration	begsample	endsample	offset	type
7.615	0.105	1524	1544	0	stimulation
7.995	0.105	1600	1620	0	stimulation
8.22	0.105	1645	1665	0	stimulation
8.6	0.105	1721	1741	0	stimulation
20.345	0.105	4070	4090	0	stimulation
20.725	0.105	4146	4166	0	stimulation
21.105	0.105	4222	4242	0	stimulation
21.485	0.105	4298	4318	0	stimulation
29.715	0.105	5944	5964	0	stimulation
30.095	0.105	6020	6040	0	stimulation
30.32	0.105	6065	6085	0	stimulation
30.695	0.105	6140	6160	0	stimulation
62.445	0.105	12490	12510	0	stimulation
62.825	0.105	12566	12586	0	stimulation
63.205	0.105	12642	12662	0	stimulation
63.585	0.105	12718	12738	0	stimulation
76.135	0.105	15228	15248	0	stimulation
76.515	0.105	15304	15324	0	stimulation
76.74	0.105	15349	15369	0	stimulation
77.115	0.105	15424	15444	0	stimulation
90.625	0.105	18126	18146	0	stimulation
91.005	0.105	18202	18222	0	stimulation
91.385	0.105	18278	18298	0	stimulation
91.765	0.105	18354	18374	0	stimulation
