onset	duration	begsample	endsample	offset	type
59.985	0.105	11998	12018	0	stimulation
60.365	0.105	12074	12094	0	stimulation
60.745	0.105	12150	12170	0	stimulation
61.125	0.105	12226	12246	0	stimulation
69.835	0.105	13968	13988	0	stimulation
70.215	0.105	14044	14064	0	stimulation
70.595	0.105	14120	14140	0	stimulation
70.975	0.105	14196	14216	0	stimulation
78.08	0.105	15617	15637	0	stimulation
78.46	0.105	15693	15713	0	stimulation
78.84	0.105	15769	15789	0	stimulation
79.22	0.105	15845	15865	0	stimulation
85.365	0.105	17074	17094	0	stimulation
85.745	0.105	17150	17170	0	stimulation
86.125	0.105	17226	17246	0	stimulation
86.505	0.105	17302	17322	0	stimulation
