onset	duration	begsample	endsample	offset	type
11.305	0.105	2262	2282	0	stimulation
18.68	0.105	3737	3757	0	stimulation
60.615	0.105	12124	12144	0	stimulation
67.99	0.105	13599	13619	0	stimulation
68.96	0.105	13793	13813	0	stimulation
69.335	0.105	13868	13888	0	stimulation
70.26	0.105	14053	14073	0	stimulation
78.275	0.105	15656	15676	0	stimulation
79.245	0.105	15850	15870	0	stimulation
87.26	0.105	17453	17473	0	stimulation
88.23	0.105	17647	17667	0	stimulation
89.2	0.105	17841	17861	0	stimulation
