onset	duration	begsample	endsample	offset	type
28.46	0.105	5693	5713	0	stimulation
29.43	0.105	5887	5907	0	stimulation
29.795	0.105	5960	5980	0	stimulation
30.73	0.105	6147	6167	0	stimulation
31.1	0.105	6221	6241	0	stimulation
35.235	0.105	7048	7068	0	stimulation
36.205	0.105	7242	7262	0	stimulation
40.38	0.105	8077	8097	0	stimulation
41.35	0.105	8271	8291	0	stimulation
42.32	0.105	8465	8485	0	stimulation
63.135	0.105	12628	12648	0	stimulation
76.965	0.105	15394	15414	0	stimulation
77.935	0.105	15588	15608	0	stimulation
78.905	0.105	15782	15802	0	stimulation
