onset	duration	begsample	endsample	offset	type
16.985	0.105	3398	3418	0	stimulation
17.635	0.105	3528	3548	0	stimulation
40.08	0.105	8017	8037	0	stimulation
40.73	0.105	8147	8167	0	stimulation
41.38	0.105	8277	8297	0	stimulation
42.03	0.105	8407	8427	0	stimulation
42.68	0.105	8537	8557	0	stimulation
62.19	0.105	12439	12459	0	stimulation
69.245	0.105	13850	13870	0	stimulation
77.58	0.105	15517	15537	0	stimulation
78.23	0.105	15647	15667	0	stimulation
79.52	0.105	15905	15925	0	stimulation
80.17	0.105	16035	16055	0	stimulation
